Gene,Mean,Dispersion,Dispersion_norm
ZNF426,0.12870787783334234,2.676341312980314,1.040031
NUP88,0.43453654320037544,2.5233547291505243,1.0395085
SLC7A1,0.057815798664388865,2.6762240885439232,1.0393548
VRK3,0.6547328892043797,2.4990407737215183,1.0392958
PDCD1,0.11617562419781631,2.675992409726887,1.0380186
ZNF140,0.2439763711948882,2.58907842768055,1.0379431
GZMM,1.373906606239398,2.2786459611805374,1.0374286
GEN1,0.02157809258622722,2.675872820978618,1.0373287
RP11-166O4.6,0.03960223557107912,2.675842375442525,1.0371531
USP54,0.01614543166118639,2.675815353341832,1.0369973
E2F5,0.07769279578710887,2.6757669756966935,1.0367182
WDR66,0.015535963680650739,2.675749306618086,1.0366163
CHD6,0.436204517732462,2.5231981038328,1.0365803
AGPAT1,0.31234739222099767,2.549466819840351,1.0363027
AC145212.1,0.06726307371496083,2.674949979305897,1.0320058
RP11-285F7.2,0.19710248721898918,2.588555143242949,1.0317581
CD84,0.539865207626982,2.5229147896345387,1.0312839
ZNF823,0.04134688159659258,2.6748165095114755,1.0312359
RABL2A,0.15091201588597564,2.5884834320975565,1.0309105
AP2M1,1.528787681675688,2.2375576565927924,1.0307457
C19orf25,0.7050049709678669,2.4673625395389114,1.0307121
GZMB,0.9003498681226841,2.442176422217505,1.0291641
VAPA,1.4791063482710773,2.2781817323469964,1.0258902
FAM26F,1.2891855065735012,2.334141386875699,1.0249794
KIF21B,0.15745717508317683,2.5879567362577798,1.0246853
MCOLN2,0.11901989065539986,2.6736346147241568,1.0244188
MRPL43,1.1059125811484891,2.373222211069539,1.0241914
EPB41,0.5527836317081177,2.4982788507420493,1.0236659
RPS6KA5,0.314058263933788,2.5486247632453334,1.0231041
MAN1C1,0.11057493283812421,2.6733335526558206,1.0226823
TMEM50A,1.4075426142373462,2.278023986373533,1.0219694
CTCF,0.42511359607134624,2.522408489730527,1.0218186
RP11-90P5.2,0.03377744603198019,2.673151799868459,1.0216339
AC016629.8,0.20144893945786702,2.587671544756344,1.0213144
ZNF135,0.0462915432270732,2.6730587767246994,1.0210974
SULT1B1,0.0485392877116578,2.6730544383552095,1.0210724
RP11-13P5.1,0.014362417812048103,2.672969472465029,1.0205822
ZNF487,0.22685311483834147,2.587590998046144,1.0203624
TRAF3IP3,1.916841029763573,1.9891309408012174,1.0199617
HILPDA,0.05881123474573112,2.6727905938216434,1.0195504
PLCE1,0.06849257102704014,2.6725678113659366,1.0182655
GMIP,0.43750308707053537,2.5222149328125147,1.0182002
RP5-892K4.1,0.04713733424383345,2.6725310249759007,1.0180533
KIAA1430,0.4287390487640143,2.5221715523396417,1.0173892
TCEA2,0.4898637849422164,2.522166588867129,1.0172964
POLR3H,0.34693644971773774,2.548239705309625,1.0170686
HNRNPU-AS1,0.1685172610750859,2.5872540064743936,1.0163792
CENPB,0.15750852982128172,2.587249975524472,1.0163317
ZMAT2,1.1017039616868054,2.372869115661909,1.0155396
FAM13B,0.18356018095087812,2.587181461367517,1.0155219
VPS37B,0.47365374445717895,2.5220687151367156,1.0154667
CD160,0.3074634948099091,2.54813051369836,1.0153571
FAM63A,0.1383272064682976,2.6719740926921056,1.014841
SIDT2,0.25971831137876666,2.5870898017854884,1.0144385
RGS9,0.038747501367373975,2.671854056163407,1.0141486
CDC42BPB,0.05715509690199237,2.6718487349112525,1.0141178
UGT8,0.04079170819961099,2.6717981750194846,1.0138263
UFL1,0.484749452376955,2.52197216484983,1.0136616
CRYGS,0.015095393118260657,2.671755096336108,1.0135777
SLC30A4,0.039343732145263405,2.671706762925815,1.013299
RAVER2,0.020808728167833586,2.6714592663535988,1.0118715
MDS2,0.22701494634730407,2.586852317523235,1.0116315
HPCAL1,0.9613014870412099,2.405949484686278,1.0115277
SLK,0.17751702847438686,2.5868356238348174,1.0114342
UBTF,0.5025139615248542,2.5218332385094513,1.0110644
